Age,Education_Level,Years_Experience,Job_Title,Location,Industry,Workclass,Gender,Hours_per_week,Marital_Status,Salary_USD
60,Master's,0,Business Analyst,San Diego,Retail,Self-employed,Male,53,Divorced,79510
50,High School,11,Software Engineer,Kolkata,Retail,Self-employed,Male,38,Single,48706
36,Master's,6,HR Manager,Seattle,Consulting,Private,Female,35,Married,77008
29,High School,7,ML Engineer,New York,Healthcare,Private,Female,58,Divorced,172733
42,Bachelor's,8,Data Engineer,Denver,Tech,Government,Male,52,Married,134266
60,Master's,1,Business Analyst,Miami,Tech,Government,Male,35,Married,75131
40,Bachelor's,16,Business Analyst,Austin,Healthcare,Self-employed,Male,51,Single,101629
44,PhD,19,Data Scientist,New York,Finance,Private,Female,31,Married,181950
32,Bachelor's,12,Data Analyst,Denver,Tech,Self-employed,Female,50,Divorced,84975
32,Bachelor's,4,Data Engineer,Mumbai,Retail,Government,Male,35,Married,49228
45,Bachelor's,9,Data Scientist,Atlanta,Biotech,Government,Male,39,Single,118508
57,Bachelor's,11,Research Scientist,Denver,Retail,Self-employed,Female,34,Single,142683
45,High School,16,Data Engineer,Seattle,Tech,Private,Male,49,Divorced,145817
24,Master's,5,ML Engineer,Mumbai,Healthcare,Private,Female,41,Divorced,56937
43,High School,2,Project Manager,Chennai,Finance,Self-employed,Male,35,Divorced,37530
23,High School,14,Research Scientist,Chicago,Tech,Government,Female,35,Divorced,146592
45,High School,6,ML Engineer,San Diego,Healthcare,Self-employed,Male,37,Divorced,142777
51,Bachelor's,5,HR Manager,Chennai,Biotech,Self-employed,Female,53,Married,32334
59,High School,3,Data Scientist,Austin,Consulting,Private,Male,55,Married,99434
23,Master's,18,ML Engineer,Delhi,Biotech,Government,Female,46,Single,67066
42,High School,4,Data Analyst,Atlanta,Biotech,Government,Female,47,Married,69509
54,PhD,2,Marketing Manager,Denver,Finance,Private,Female,40,Divorced,74102
33,Bachelor's,8,Project Manager,Chicago,Tech,Government,Male,30,Divorced,103487
43,PhD,5,HR Manager,Atlanta,Consulting,Government,Female,55,Single,84510
46,Master's,12,Business Analyst,Seattle,Healthcare,Private,Female,36,Divorced,99889
48,Master's,19,Data Scientist,Denver,Consulting,Government,Female,37,Single,154432
49,Master's,3,Research Scientist,Delhi,Tech,Government,Male,32,Married,49943
37,Master's,1,Marketing Manager,New York,Finance,Self-employed,Male,48,Married,92761
36,High School,3,Data Engineer,Atlanta,Tech,Government,Male,45,Married,108310
24,Bachelor's,7,Data Scientist,Hyderabad,Healthcare,Self-employed,Female,52,Single,50451
58,Master's,12,Software Engineer,Bangalore,Consulting,Self-employed,Male,37,Divorced,46440
28,PhD,9,Data Scientist,Kolkata,Biotech,Self-employed,Female,59,Single,51573
42,Master's,17,Software Engineer,New York,Tech,Private,Male,58,Married,158380
30,Bachelor's,8,Business Analyst,Denver,Retail,Private,Male,35,Single,86685
60,PhD,0,HR Manager,Delhi,Finance,Government,Male,53,Divorced,30242
39,PhD,12,Project Manager,Seattle,Finance,Self-employed,Female,31,Single,103462
25,PhD,17,Data Scientist,Delhi,Consulting,Government,Female,52,Married,61897
46,High School,14,Business Analyst,San Diego,Biotech,Government,Male,41,Divorced,111085
35,Master's,1,Data Engineer,Boston,Healthcare,Government,Male,59,Married,110195
30,High School,10,Marketing Manager,San Diego,Biotech,Government,Female,50,Divorced,101690
47,PhD,13,Data Analyst,Denver,Consulting,Government,Female,35,Divorced,82248
23,High School,14,ML Engineer,Denver,Biotech,Self-employed,Female,43,Married,154476
41,High School,13,Business Analyst,San Francisco,Consulting,Self-employed,Female,36,Married,116394
49,High School,15,Marketing Manager,Denver,Biotech,Self-employed,Male,38,Married,100680
28,Master's,14,Software Engineer,Boston,Tech,Self-employed,Male,36,Single,124269
29,PhD,18,Business Analyst,Hyderabad,Finance,Private,Male,44,Married,48036
56,PhD,8,Data Engineer,Chicago,Consulting,Self-employed,Female,41,Divorced,136836
35,Master's,4,Business Analyst,New York,Consulting,Self-employed,Female,56,Single,98155
38,High School,4,Project Manager,Mumbai,Finance,Self-employed,Male,46,Single,39741
57,High School,10,Software Engineer,Seattle,Retail,Private,Male,44,Single,110799
25,Bachelor's,19,Data Scientist,Austin,Retail,Government,Male,44,Single,134435
23,Bachelor's,3,Research Scientist,Hyderabad,Healthcare,Private,Male,50,Single,54724
27,Bachelor's,19,Data Analyst,Denver,Consulting,Self-employed,Male,59,Single,89101
25,Master's,17,Data Scientist,San Diego,Tech,Self-employed,Female,56,Married,138927
50,PhD,2,ML Engineer,San Francisco,Biotech,Private,Male,43,Divorced,165164
39,Bachelor's,3,Business Analyst,San Francisco,Tech,Government,Female,40,Married,108271
47,PhD,13,HR Manager,San Diego,Consulting,Private,Female,40,Divorced,91294
55,PhD,6,Business Analyst,Hyderabad,Healthcare,Private,Female,49,Single,39747
31,PhD,7,Software Engineer,Miami,Consulting,Self-employed,Male,42,Married,98930
57,Master's,15,Project Manager,Denver,Healthcare,Private,Female,42,Married,128367
35,Master's,19,Business Analyst,Bangalore,Finance,Private,Male,59,Married,48137
52,Master's,14,ML Engineer,Bangalore,Biotech,Private,Male,37,Divorced,65742
36,Master's,6,Data Engineer,New York,Tech,Private,Female,36,Single,154625
29,Bachelor's,16,Business Analyst,Hyderabad,Healthcare,Private,Male,49,Single,46114
35,High School,11,Data Scientist,San Francisco,Tech,Private,Female,42,Single,162661
44,High School,17,Research Scientist,Chennai,Finance,Self-employed,Male,40,Divorced,63890
42,High School,13,HR Manager,Chicago,Consulting,Self-employed,Male,48,Married,95836
37,Bachelor's,14,ML Engineer,Delhi,Healthcare,Self-employed,Female,35,Divorced,61400
39,High School,14,ML Engineer,Seattle,Biotech,Self-employed,Female,37,Single,157605
45,Bachelor's,4,Software Engineer,New York,Healthcare,Private,Male,48,Divorced,125595
47,Bachelor's,15,ML Engineer,Chicago,Retail,Private,Female,34,Divorced,156990
46,Bachelor's,4,HR Manager,Mumbai,Consulting,Private,Female,39,Divorced,34510
50,High School,1,Data Scientist,Bangalore,Consulting,Private,Male,30,Single,46045
36,PhD,19,Research Scientist,Mumbai,Biotech,Self-employed,Female,55,Married,64353
22,High School,8,Marketing Manager,San Francisco,Biotech,Self-employed,Female,41,Single,115636
46,High School,8,Business Analyst,Denver,Finance,Private,Male,55,Divorced,99088
28,Master's,3,ML Engineer,Austin,Tech,Private,Female,53,Married,130802
30,Bachelor's,14,Data Engineer,New York,Healthcare,Private,Male,36,Married,159032
45,PhD,10,Project Manager,Hyderabad,Finance,Private,Female,37,Single,42005
22,Master's,0,Data Engineer,Kolkata,Tech,Government,Male,59,Single,44599
29,PhD,17,Data Scientist,San Diego,Finance,Government,Female,47,Married,137121
45,PhD,0,Marketing Manager,Denver,Retail,Government,Male,36,Divorced,75565
32,Bachelor's,7,Software Engineer,Kolkata,Biotech,Government,Male,43,Single,45920
38,High School,15,Data Scientist,San Francisco,Biotech,Private,Male,49,Married,179852
29,Bachelor's,17,Data Engineer,Mumbai,Consulting,Private,Female,47,Married,61408
